timestamp-old,speaker,words,tags,highlight,timelink,timestamp
,LP:,Can you tell me more about yourself and where you are originally from?,,,,
,AG:,My mother is from Zimbabwe and my father is a Malawian. According to my father’s customs the children belong to the father’s side.,,,,
,LP:,When did your father move to Zimbabwe?,,,,
,AG:,"In the 1930s. ",1930s,,,
,LP:,What ethnic group was your father from?,,,,
,AG:,"My father is Angoni from Mwanza District from a place called Kandugu. ",Mwanza,,,
,LP:,How far did you go with your education?,,,,
,AG:,Up to form 2,,,,
,LP:,What languages do you speak?,language,,,
,AG:,"Chitumbuka, Chichewa and Shona and a little English. ",language,,,
,LP:,"When did you move to Zimbabwe? ",,,,
,AG:,I was born in Zimbabwe in 1949.,,,,
,LP:,Was your husband born in Zimbabwe?,,,,
,AG:,"No, he went there when he was already grown up.",,,,
,LP:,How long were you in Zimbabwe?,,,,
,AG:,"From when I was born until 1995. ",1990s,,,
,LP:,Where were you living in Zimbabwe?,,,,
,AG:,"At Gwibi College of Agriculture, Harare. There were houses where we used to live within the College. ",Harare;housing,,,
,LP:,Where did you work?,,,,
,AG:,At the College.,,,,
,LP:,Did you ever work in Zimbabwe?,,,,
,AG:,"Yes, I did primary health care and later worked with co-operatives. I used to work in village communities. ",healthcare worker,,,
,LP:,"Can you tell me more about your life in Zimbabwe, did Shona and Malawians stay together peacefully or were there any problems?",,,,
,AG:,"Life was generally good, we had good food, good clothing, but Kwanu ndi Kwanu – home is best. Sometimes the Shona weren’t treating us nicely. They used to call us Mablantyre, even though my mother was Zimbabwean, because she belonged more to her father’s side, I used to feel insulted when they called us Mablantyre.",discrimination,,,
,LP:,What did they mean by Mablantyre?,discrimination,,,
,AG:,"Malawians or Mabwidi, Obwera, [separate terms for foreigners, when asked what Mabwidi meant, she said she didn’t know exactly] ",discrimination,,,
,AG:,"This used to hurt me a lot when we were called these names. The “tsankho” [?]. Let’s say you are given a place to live and you made it look nicer than it was before, then the MaShona would come and tell you to leave, tell you that it is not a place for Mablantyre.",discrimination;housing,,,
,AG:,"Then we would move to another place and then the Shona would say, “the owners have come this is not a place for Mablantyre.” And that was the biggest problem I used to find with my life there.",discrimination;housing,,,
,LP:,Who did you used to chat/socialise with?,social life,,,
,AG:,"There were so many Malawians that you don’t even know that you are away from Malawi. I even thought that all Malawians had moved there because we used to stay among so many of them. There are so many Malawians who have a mother from Zimbabwe or South Africa and a father who was Malawian. I used to spend my time with those people. And when you heard that someone’s father was from Malawi you could even stay in that person’s house as if they were your relative. There weren’t any problems there we used to love one another. We, the children used to feel upset by the name calling but it didn’t seem to affect our parents.    ",social life,,,
,LP:,What did you used to do in your free time and at weekends?,,,,
,AG:,"I used to like going for prayers. I used to pray at the CCAP.      ",CCAP,,,
